game_id,year_id,date_game,seasongame,is_playoffs,team_id,fran_id,opp_id,opp_fran,elo_i,opp_elo_i,game_result
199911290MIA,2000,11/29/1999,14,0,MIA,Heat,SAC,Kings,1603.2048,1545.2656,W
199911290NYK,2000,11/29/1999,15,0,NYK,Knicks,DAL,Mavericks,1570.8284,1434.8579,W
199911290POR,2000,11/29/1999,16,0,POR,Trailblazers,IND,Pacers,1644.0396,1584.4656,L
199911290UTA,2000,11/29/1999,14,0,UTA,Jazz,GSW,Warriors,1576.1616,1360.3625,W
199911290VAN,2000,11/29/1999,14,0,VAN,Grizzlies,HOU,Rockets,1275.8599,1467.6486,L
199911300CLE,2000,11/30/1999,13,0,CLE,Cavaliers,DAL,Mavericks,1478.6674,1428.2616,W
199911300LAC,2000,11/30/1999,14,0,LAC,Clippers,PHO,Suns,1352.0846,1568.8278,L
199911300MIN,2000,11/30/1999,12,0,MIN,Timberwolves,DEN,Nuggets,1484.776,1390.8038,W
199911300NJN,2000,11/30/1999,15,0,NJN,Nets,WAS,Wizards,1395.2938,1392.7961,L
199911300ORL,2000,11/30/1999,15,0,ORL,Magic,SAC,Kings,1536.8801,1539.974,L
199911300PHI,2000,11/30/1999,16,0,PHI,Sixers,NYK,Knicks,1533.7642,1577.4247,W
199911300SAS,2000,11/30/1999,16,0,SAS,Spurs,DET,Pistons,1716.725,1550.5599,W
199911300SEA,2000,11/30/1999,15,0,SEA,Thunder,LAL,Lakers,1536.4087,1561.7855,L
199911300TOR,2000,11/30/1999,15,0,TOR,Raptors,ATL,Hawks,1523.3633,1509.8694,L
199912010DEN,2000,12/1/1999,14,0,DEN,Nuggets,DET,Pistons,1384.5491,1545.9287,W
199912010LAL,2000,12/1/1999,16,0,LAL,Lakers,GSW,Warriors,1585.7794,1357.2271,W
199912010MIA,2000,12/1/1999,15,0,MIA,Heat,PHI,Sixers,1608.4965,1538.843,W
199912010PHO,2000,12/1/1999,15,0,PHO,Suns,HOU,Rockets,1576.7806,1473.9227,W
199912010POR,2000,12/1/1999,17,0,POR,Trailblazers,CHH,Pelicans,1636.1216,1550.7527,W
199912010VAN,2000,12/1/1999,15,0,VAN,Grizzlies,IND,Pacers,1269.5857,1592.3835,L
199912010WAS,2000,12/1/1999,16,0,WAS,Wizards,CLE,Cavaliers,1404.5881,1483.1147,L
199912020ATL,2000,12/2/1999,16,0,ATL,Hawks,SAC,Kings,1531.9063,1553.3949,W
199912020CHI,2000,12/2/1999,14,0,CHI,Bulls,DAL,Mavericks,1327.5859,1423.8142,L
199912020GSW,2000,12/2/1999,15,0,GSW,Warriors,SEA,Thunder,1354.0648,1512.4148,L
199912020LAC,2000,12/2/1999,15,0,LAC,Clippers,HOU,Rockets,1344.1317,1470.7657,L
199912020MIL,2000,12/2/1999,15,0,MIL,Bucks,NYK,Knicks,1527.4551,1572.3458,L
199912020MIN,2000,12/2/1999,13,0,MIN,Timberwolves,ORL,Magic,1491.0308,1523.4592,L
199912020NJN,2000,12/2/1999,16,0,NJN,Nets,SAS,Spurs,1383.5018,1721.3562,L
199912030BOS,2000,12/3/1999,15,0,BOS,Celtics,MIA,Heat,1472.8345,1612.5493,W
199912030CLE,2000,12/3/1999,15,0,CLE,Cavaliers,PHI,Sixers,1489.1542,1534.7902,L
199912030DEN,2000,12/3/1999,15,0,DEN,Nuggets,ORL,Magic,1392.3629,1536.5369,L
